tweet_id,author_name,created_at,text
1334553999723335680,Ferdinand🇳🇴,2020-12-03 17:44:03,"@bing1nho @NorwegianSpursy Kan også gjøre BPM, selge dyre bronzespillere bruke de til 200 i bronzeoppgradering så bruke de sølvspillerne i sølvoppgradering osv og til slutt gjøre de upgrade packsa men de går ut i dag og denne metoden tar jævla lang tid."
1334544148372877313,Anne Grethe #ufør_uten_livets_rett,2020-12-03 17:04:54,"""De går blant oss, men norsk snakker de ikke""
Et lite øyeblikk hørtes det skummelt ut med vampyrer i gatene, men det var #norskspråkråd som snakka om arbeidsinnvandrere #dax18"
1334494180249391105,Elisabeth Bergskaug,2020-12-03 13:46:20,"@hyper_linda @forteller @gieffektivt Oppsummert er det lite av klærne som blir i Norge, men mesteparten blir gjenbrukt. Og de vil gjerne at vi leverer klærne våre til dem - for alternativet er at de går i søpla."
1334462846164475904,Thor,2020-12-03 11:41:50,@Rotevatn Det er ikke noe grønt skifte... Ja de går på vannkraft i Norge. Kraft vi ikke eksporterer da som erstattes med gass eller kull til de vi ikke eksporterer til. Du får ett vanvittige søppel problem med batterier dog.
1334427676292079617,Markus Olsen,2020-12-03 09:22:05,"@aktiesvorsk @Fly_Norwegian @MadsNordnet Vil tro de går tapt, men har ikke undersøkt noe særlig.

Det er mange som selger til sterkt rabatterte priset på Finn nå av denne grunn."
1334427021468983296,Torfinn,2020-12-03 09:19:29,"@litelin @bettibettsin At norske bedrifter utnytter utenlandsk arbeidskraft er selvfølgelig en uting. Det skal ikke være slik. De går gjerne utenom loven, de uregistrerte er vanskelig å finne. For vi har ikke et overvåkningssamfunn. Det blir en balansegang der vi må stole på folk."
1334421458429292552,Tore Remi Arbeitzløes,2020-12-03 08:57:22,"Men seriøst. Jeg har ti av hver, og de går svinfort."
1334404034191613953,Per Ståle Honning,2020-12-03 07:48:08,"*2022. Senterpartiet styrer landet*

*minoritetsungdom på østkanten blir ransaket i ræva med høygafler når de går av banen*

*Jan Bøhlers siste radiohit spilles på høytaleranlegget*

Sjabbari sjabbarei ingen narkotika på deg
Durumdu durumhei
Hele Oslo digger meg"
1334249837982846976,Jonas Bandgren,2020-12-02 21:35:25,VAR gir gult til Fred for å nikke Paredes som er rødt i følge reglene. De går inn i en rødt kort sjekk å gir gult.… https://t.co/lee59HfAIo
1334224543255306243,Thorya,2020-12-02 19:54:54,@filosofaen Altså. Hva forventer de når de går bort til et utdrikningslag (pre alkohol vel å merke)?
1334180594432045061,Simen Ingebrethsen,2020-12-02 17:00:16,@superhopen De faller fort sammen når de går i mot dette laget.
1334169796636790788,Bård Baardsen,2020-12-02 16:17:21,"@svmelb Har tidligere presidenter gjort tilsvarende? ""Pardons"" til sine barn før de går av?"
1334165641486602243,Sven Bisgaard Sundet,2020-12-02 16:00:51,Noen har kledd seg ut som «ringleveringsbud» de går med rosa klær hvor det står FRODOra!
1334128251896291330,Marie therese Hagerup Nilsen,2020-12-02 13:32:16,"@HansMagnusNils1 Mente Hunter, telf endret ordet... Trump har visst om dette siden 2018 da han skrev loven som gjorde at han kunne konfiskere materiale i utlandet med en gang, NRA har dokumentert absolutt alt, så jeg forstår ikke vitsen med å vente til de går inn døren, kuppet er bevist!"
1334093214161178627,nemiSirotS,2020-12-02 11:13:03,"@SkogVIF De kommer garantert til å prøve seg på noen krumspring for å skjule, endre, utvide omfanget etc.

Men, den til enhver tid sittende president kan deklassifisere hva som helst dersom de går den veien med det."
