tweet_id,author_name,created_at,text
1336441992541335559,Marit E H Totland,2020-12-08 22:46:15,Eg har opna bloggsida med gåvetips att. Ligg open ut morgondagen om nokon er på jakt etter ei gåve utan å gå på handel.  https://t.co/rAdIJKEe1c
1336439529562103808,Bent Raknes,2020-12-08 22:36:28,"Avslutter kvelden med å tenke på dette med talentspeiding. Hvordan er det å identifisere et fotball talent.
Er faktisk fornøyd med endel av de som ble oppdaget, samtidig også tatt lærdom når eg har feilet.
Tror ydmykhet er en viktig faktor som speider #scouting #HGHmanagement 1/2"
1336432993406169091,Pip12/7,2020-12-08 22:10:30,@SveinAsleik Det er heilt nytt for meg. Eg har aldri høyrd om yule. Som å finne opp yule på ny.
1336426645482332167,Kari Fosse. Radiograf!,2020-12-08 21:45:16,@bergersenline Det er til deg og dine likesinna eg føler eg har strekt ut ei hand med Middels Minus.. 😀
1336424033756262408,Kari Fosse. Radiograf!,2020-12-08 21:34:53,"@TVfilter @kwaeraas Ja det er faens irriterande..
når det er sagt er mitt ankepunkt at det tek vekk noko som faktisk er ganske kos i advent. Eg har årleg eit fast «design» på gåver til vaksne, eit anna til born. Alle som får frå oss får lik innpakning. Kjøper papir, band osv på reiser mm
Elskar det!"
1336418861768470534,MaSa gler seg til jul☕@masaogmasa,2020-12-08 21:14:20,"@esgya Skal tenkja litt, kanskje eg har nokre ord i morgon 😇"
1336417173892423681,Odd M,2020-12-08 21:07:38,"Folk klager fordi de ikke kan invitere/akkomodere 10 personer i jula.
Eg har ikke hatt 10 personer på besøk i 2020,… https://t.co/CFSqkM9GGe"
1336416365062852611,Erik Kursetgjerde,2020-12-08 21:04:25,"@10mill10ar Omtrent einaste guilty pleasure eg har, utanom jålepils. Men sidan stort sett alt er stengt, så.. 🤷"
1336411226310664192,Martin Larsen Hirth,2020-12-08 20:44:00,"@jenskihl @loktvillingane @SofieMarhaug Eg har ein del tankar om korleis Arna kan nå ut til folket. Vimsete utad, strateg på innsida."
1336406485052612615,Markus,2020-12-08 20:25:09,"@siljel Det er det BESTE kjøpet eg har gjort på kjøkkenet! Så enkelt plutseleg når eg skal lage noko grytar eller wok, eller noko slikt. 😋"
