tweet_id,username,created,text,label
1404436680556285952,Harald Bonaventura,2021-06-14 13:52:52,"@lambrechts Bonaventura, som stod nest sist i køen, fikk ikke oppleve vaksineringen da han tidligere på dagen stod fast mellom Hønefoss og Sandvika på den gamle Ringeriksbanen. Den nye luftbanen over Filefjell er som kjent  med i NTP 2043-2049.",bokmål
1404436701670481921,Øyvind L. Høysæter,2021-06-14 13:52:57,@ThomasWergeland Ja. Jeg beskriver det som å sitte midt inni en ball med stålull. Og bomull i hodet.,bokmål
1404437382666010627,Arnljot Arntsen,2021-06-14 13:55:39,"@CSpange @GroVesHag @DagJ71 Når det er sagt,Skjervøy er ikke et utpreget kebab og burger sted
Ikke et vondt ord om Kaien 70° Nord🍔
Men har inntrykk av at Skjervøyværinger setter pris på de tilbudene de har,og spiser opp maten sin.
Men selvfølgelig finnes det søppel,og måser er flinke til å få has på kasser",bokmål
1404437687185051648,Nikke Lindqvist  🖤,2021-06-14 13:56:52,"@BAPetter @Lillgnagis Pitlochry, koftor, kiltar, haggis, heden, single malt",bokmål
1404438369233477647,Fredrik Østbye (Fred Øst),2021-06-14 13:59:35,@lasseav @ehauger @gardlm PR og medieguru. Avdanka party-dj er vel mer presist🤟,bokmål
1404438425936203776,Edvard Nore,2021-06-14 13:59:48,"@veslevoksen Snakker om, jeg så deg i Torggata i dag! Du sto veldig opptatt så jeg stoppa ikke",bokmål
1404438765104402438,DONÉR TIL BLM - link i bio,2021-06-14 14:01:09,"@GjertrudNordal Du skal seff få føle det du vil og gi uttrykk for det, og på et personlig nivå har jeg noe forståelse for det MEEEEN, 

jeg syns ikke kampen er tatt fullt og helt fra ditt parti (og ung. Org.) før partiet gjør alt de kan i ALLE ledd. Håper UH stiller seg bak en evt. boikott asap!",bokmål
1404439017203056648,Bjarte Mork Eikås,2021-06-14 14:02:09,@KHavnevik @olavtorvund Opplevelsen når du blir forbikjørt i tunnel av en MC uten lyddemping kan skremme vannet av den mest hardføre syklist.,mixed
1404439181955379203,Arnljot Arntsen,2021-06-14 14:02:48,"@FrodePleym Legger merke til at NHO ikke har nestleder men nestkommanderende 🤔
Snasent. https://t.co/u3GFBHTn7P",bokmål
1404439501464911877,anja ther,2021-06-14 14:04:05,"Vært igjennom 2 billettkontroller samme dagen. Har billett ofc, men faen til angst det har vært i dag.",bokmål
1404439611884113920,Andreas Theilmann Jensen,2021-06-14 14:04:31,"@astrilestrange Hvis jeg hadde kjøpt en grill i et slikt tilfelle, så hadde jeg brukt dødslang tid på å sette den opp, for å så opppdage at den var elektrisk.",bokmål
1404439814846435331,Fredrik Østbye (Fred Øst),2021-06-14 14:05:19,@lasseav @ehauger @gardlm Jeg takker for komplimentet men jeg er like mye guru som gresset deres er ekte.,bokmål
1404440424677261314,Adam Abdi 🇾🇪,2021-06-14 14:07:45,@TV2Wikestad Keeperen til Tsjekkia er fortjent en bonus!,bokmål
1404440468650352645,Arnljot Arntsen,2021-06-14 14:07:55,"@OdaRygh Kompromiss med henne,  du ordner henne en invitasjon til en konfirmasjon om noen år? https://t.co/Dr9JQ7eDrn",bokmål
1404441373651124225,Jonas Ali Ghanizadeh,2021-06-14 14:11:31,"Virker som om de som regner på dette ikke ser på kostnaden alle smitteverntiltakene har på folk.
Mens, vi ruger på vaksiner som vi ikke vil bruke.",mixed
1404441837159464962,Odd M,2021-06-14 14:13:21,"Du kan takke sofie frøysaa og hennes likesinnede for det
https://t.co/0RVCRLXlFk",bokmål
1404441843488677893,Adam Abdi 🇾🇪,2021-06-14 14:13:23,Em’s fineste redning etterfulgt av Em’s fineste scoring! For en kamp. #EURO2020 #2em,bokmål
1404441857296322563,Oskar,2021-06-14 14:13:26,Rett i koppen,bokmål
1404442159890173957,Adam Abdi 🇾🇪,2021-06-14 14:14:38,@Kanterno420 Tuller for mye foran mål. Fortjent.,bokmål
